ztfname,zHD,zHDERR,mB,mBERR,x1,x1ERR,c,cERR,cov_mB_x1,cov_mB_c,cov_x1_c,host_logmass,host_logmass_err,host_logmass_local,host_logmass_local_err,host_color,host_color_err,host_color_local,host_color_local_err,HR_tripp,HR_tripp_err,HR_tripp_err_nosigint
ZTF18abespgb,0.0541456,0.00327567,18.304158643014297,0.0573133288674357,1.29942,0.464117,0.130939,0.0439415,0.017975400510837788,0.002116020958953667,0.00891582,9.256,0.1028396810574595,8.941,0.027,0.65169653,0.028425340807,0.57269653,0.069526973183,0.32759799054981953,0.19769010125357486,0.10090280538046838
ZTF18abfhryc,0.0311455,0.00332866,16.482787972782425,0.0325886601749254,0.667284,0.0410004,0.0182848,0.0268963,-0.00013360334685994847,0.0007611495751046487,-0.000236894,9.405,0.1011187420807834,7.364,0.197,0.25869653,0.021400934559,-0.65330347,0.285616876252,-0.09257440474066107,0.17921151954750145,0.05671656493939394
ZTF18abhhxcp,0.0562904,0.00282179,17.871940886134887,0.03590460827883259,2.23296,0.155909,0.155219,0.0301148,0.0013775915024269948,0.0008936066408120833,-8.75848e-05,10.845,0.1479222768889121,10.175,0.022,1.27869653,0.016970562748,1.23369653,0.017691806013,-0.13107128853161787,0.18446852522637708,0.07161450131917775
ZTF18abixkdo,0.0303453,2.058e-05,16.9985615865821,0.0400377725005808,-2.12993,0.136356,0.0436966,0.0346833,0.0008694889278963397,0.0011487612490021608,-0.000149954,9.843,0.122065556157337,5.989,0.352,1.16769653,0.019849433241,-0.43530347,1.36654454739,0.013288519043660268,0.18775245477152677,0.0796930628896531
ZTF18abiybfq,0.0293995,0.00288617,16.225429337533978,0.04019019678706062,-0.0989291,0.146393,-0.0265396,0.0340404,0.001012497361360168,0.0011700406458623762,0.000135325,8.55,0.1516443206981389,8.388,0.125,1.60369653,0.065436992596,1.24469653,0.087863530546,-0.19355397375054317,0.18597822379396722,0.07541816575307936
ZTF18abjgyyr,0.0499431,0.00289871,17.68138172949129,0.041507679454352284,-0.906108,0.128689,0.00102857,0.0327961,0.001703756119465669,0.0011440752172563885,0.000303822,10.201,0.1035808862676893,9.042,0.026,1.03169653,0.018384776311,1.04669653,0.023430749028,-0.04189848988491897,0.1845237114413731,0.07175653338964423
ZTF18abjhack,0.0460575,0.0029904,17.56318833618281,0.03561357790257653,-0.608781,0.100879,-0.0124524,0.0301945,0.0005310786713441411,0.0009272944101495905,4.61558e-05,8.198,0.1056219674120871,8.183,0.089,0.65369653,0.081055536517,0.62469653,0.243704739388,0.10110307159948179,0.1820897778794875,0.06524329243838854
ZTF18abjqmqt,0.0490429,0.00372055,17.81332244801485,0.05611096179051044,-0.835127,0.245656,0.0486495,0.0441736,0.0034805875531436314,0.002189573849413431,0.000424841,10.384,0.1471869559437928,9.829,0.093,1.39769653,0.021931712199,1.43469653,0.024758836806,-0.004584629729899401,0.1961947586397726,0.09794071327960918
ZTF18abjrfqx,0.0314951,0.00428981,17.503787009227807,0.03555684973448174,-1.11037,0.116282,0.0935071,0.0292473,0.0004904637364632524,0.0008981814274211038,6.31374e-05,9.471,0.1004987562112089,8.514,0.031,0.85869653,0.020808652047,0.85269653,0.033241540277,0.4281890391966718,0.181296418343973,0.06299516889693103
ZTF18abjvhec,0.0569001,1.221e-05,17.504175793392516,0.03588618657400117,0.48297,0.162384,-0.042664,0.0285891,0.0019157257860886582,0.0008748018437429232,0.000687559,10.723,0.1041201229350023,8.926,0.064,1.14069653,0.018439088915,1.08169653,0.027658633372,-0.171776985708682,0.18122981097833515,0.06280321956112665
ZTF18abjvzxx,0.0503376,1.583e-05,17.773104488699587,0.04298818607354073,-1.21254,0.207166,0.101938,0.0352904,0.0024857953386991523,0.001301313478163876,0.00120799,11.27,0.1280624847486569,8.02,0.157,1.39669653,0.017691806013,0.96769653,0.249130487897,-0.3134655048541192,0.18647522965254623,0.07663557446753991
ZTF18abkhbra,0.0387537,0.00444325,17.449296685560817,0.04731581710830579,0.98969,0.259946,0.050236,0.0399586,0.005829571265072353,0.0015797459394150592,0.00311238,7.646,0.1286895489152091,7.642,0.128,0.78469653,0.130361037124,1.01069653,0.18425254408,0.40030896643353225,0.1910461095728149,0.08717004062697224
ZTF18abkhcrj,0.0382303,1.765e-05,17.595503859081298,0.034620799485055496,0.995101,0.0654867,0.224928,0.0281379,5.9444069149396524e-05,0.0008442636481443447,-0.000194771,9.939,0.1203702621082134,9.667,0.069,1.22069653,0.019104973175,1.29169653,0.020518284529,0.04401336578868617,0.1801341421379723,0.059567685566783594
ZTF18abkhcwl,0.0316437,1.627e-05,16.364557912995366,0.03383023614673691,0.214989,0.0732309,-0.0816686,0.0272634,0.0002501984885087064,0.0008014800189474202,7.1201e-06,9.345,0.1017889974407843,8.041,0.048,0.75969653,0.028653097564,0.71969653,0.051429563482,-0.008715755941334904,0.17920534378956254,0.05669704791905214
ZTF18ablmflp,0.0426961,1.427e-05,18.198261900559288,0.03887126071383621,0.404965,0.259616,0.270003,0.0311471,0.003259875791859993,0.0010456916949378985,0.00145352,10.338,0.1038460398859773,8.384,0.031,1.10469653,0.019849433241,0.86869653,0.046647615159,0.21181679867023911,0.18453836062148066,0.07179419573241026
ZTF18ablqlzp,0.041262,1.414e-05,17.437011734285708,0.0342259826323225,0.642247,0.185037,0.119523,0.0280988,0.0005908289191998041,0.0008361984625633391,0.000428373,10.642,0.1088531120363584,9.586,0.065,1.01069653,0.019104973175,1.01469653,0.018439088915,0.013605154861700205,0.1808927685019234,0.06182389260059938
